1.7191,0.8105,0.4947,1.2984,-0.6489,0.5531,0.5415,-1.1486,-0.6667,-0.8475,-1.6958,-0.3811,-1.7191,-0.8105,0.4947,-1.2984,0.6489,0.5531,-0.5415,1.1486,-0.6667,0.8475,1.6958,-0.3811
1.6917,0.672,0.0682,1.8069,-0.7701,0.5347,0.6664,-1.6777,0.1036,-0.425,-0.9973,-0.7065,-1.6917,-0.672,0.0682,-1.8069,0.7701,0.5347,-0.6664,1.6777,0.1036,0.425,0.9973,-0.7065
1.8346,0.7464,-0.5147,1.6513,-0.7113,-0.125,0.4086,-1.0044,0.6998,-0.7227,-1.6776,-0.0601,-1.8346,-0.7464,-0.5147,-1.6513,0.7113,-0.125,-0.4086,1.0044,0.6998,0.7227,1.6776,-0.0601
1.6498,0.6394,0.1791,1.0052,-0.418,-0.7023,0.6675,-1.7222,0.0016,-0.7573,-1.8212,0.5217,-1.6498,-0.6395,0.1789,-1.0052,0.418,-0.7023,-0.6675,1.7221,0.0018,0.7574,1.8214,0.5214
1.5395,0.6667,-0.3198,1.7727,-0.8216,-0.5225,0.7447,-1.7282,0.1345,-0.4706,-1.0146,0.7038,-1.5458,-0.6666,-0.3127,-1.7647,0.8215,-0.5323,-0.7483,1.7269,0.1442,0.4726,1.016,0.7049
1.7121,0.802,-0.3846,1.1326,-0.574,-0.6692,0.6168,-1.3188,0.5513,-0.8557,-1.6927,0.5009,-1.7154,-0.8,-0.3791,-1.1279,0.571,-0.6718,-0.619,1.3251,0.5459,0.8566,1.6876,0.5066
1.7118,0.8101,-0.477,1.2516,-0.634,-0.5914,0.5661,-1.1898,0.6462,-0.8554,-1.6812,0.427,-1.701,-0.8131,-0.4904,-1.2644,0.6399,-0.5822,-0.5602,1.1783,0.6526,0.8514,1.6897,0.4154
1.4013,0.6444,-0.4736,1.7162,-0.8418,-0.5225,0.791,-1.722,0.3019,-0.5287,-1.0774,0.6933,-1.4029,-0.6446,-0.4724,-1.7145,0.8422,-0.5243,-0.7917,1.7212,0.304,0.5294,1.0782,0.6935
1.0624,0.4889,0.7009,1.713,-0.8104,0.2548,0.8044,-1.7507,-0.5203,-0.6778,-1.4233,-0.4398,-1.0695,-0.4943,0.6977,-1.7088,0.8155,0.2662,-0.8046,1.7385,-0.5344,0.6809,1.436,-0.425
1.7303,0.7696,0.2449,1.0471,-0.5094,0.7008,0.6497,-1.4591,-0.4175,-0.8418,-1.7287,-0.5317,-1.7291,-0.7716,0.2475,-1.0491,0.5101,0.7007,-0.6489,1.4558,-0.42,0.8419,1.7333,-0.5247
